,0,1
366,274,316
367,274,317
368,274,318
369,274,319
370,274,320
371,274,321
372,274,322
373,274,323
374,274,324
375,274,325
376,274,326
377,274,327
378,274,328
379,274,329
380,274,330
381,274,331
382,274,332
383,274,333
384,274,334
385,274,335
386,274,336
387,274,337
388,273,337
389,272,337
390,271,337
391,270,337
392,269,337
393,268,337
394,267,337
395,266,337
396,265,337
397,264,337
398,263,337
399,262,337
400,261,337
401,260,337
402,259,337
403,258,337
404,257,337
405,256,337
406,255,337
407,254,337
408,253,337
409,252,337
410,251,337
411,250,337
412,249,337
413,248,337
414,247,337
415,246,337
416,245,337
417,244,337
418,243,337
419,242,337
420,241,337
421,240,337
422,239,337
423,238,337
424,237,337
425,236,337
426,235,337
427,234,337
428,233,337
429,232,337
430,231,337
431,230,337
432,229,337
433,228,337
434,227,337
435,226,337
436,225,337
437,224,337
438,223,337
439,222,337
440,221,337
441,220,337
442,219,337
443,218,337
444,217,337
445,216,337
446,215,337
447,214,337
448,213,337
449,212,337
450,211,337
451,210,337
452,209,337
453,208,337
454,207,337
455,206,337
456,205,337
457,204,337
458,203,337
459,202,337
460,201,337
461,200,337
462,199,337
463,198,337
464,197,337
465,196,337
466,195,337
467,195,338
468,194,338
469,194,339
470,193,339
471,193,340
472,192,340
473,192,341
474,191,341
475,191,342
476,190,342
477,190,343
478,189,343
479,189,344
480,188,344
481,188,345
482,187,345
483,187,346
484,186,346
485,186,347
486,185,347
487,185,348
488,184,348
489,184,349
490,183,349
491,183,350
492,182,350
493,182,351
494,181,351
495,181,352
496,180,352
497,180,353
498,179,353
499,179,354
500,178,354
501,178,355
502,177,355
503,177,356
504,176,356
505,176,357
506,175,357
507,175,358
508,174,358
509,174,359
510,173,359
511,173,360
512,172,360
513,172,361
514,171,361
515,171,362
516,170,362
517,170,363
518,169,363
519,169,364
520,168,364
